Date,Open,High,Low,Close,Volume,Adj Close
2012-07-31,4.29,4.29,3.82,4.02,1069600,0.774
2012-07-30,3.90,4.49,3.68,4.11,4395100,0.791
2012-07-27,3.50,3.62,3.39,3.62,1054300,0.697
2012-07-26,3.58,3.58,3.38,3.45,157900,0.664
2012-07-25,3.50,3.57,3.46,3.51,534000,0.676
2012-07-24,3.50,3.50,3.29,3.46,296000,0.666
2012-07-23,3.50,3.50,3.26,3.31,899600,0.637
2012-07-20,3.75,3.83,3.45,3.50,1653000,0.674
2012-07-19,4.01,4.17,3.64,3.72,2629500,0.716
2012-07-18,3.70,4.09,3.67,3.94,3972200,0.758
2012-07-17,3.05,3.59,3.02,3.58,2854900,0.689
2012-07-16,2.79,3.05,2.79,3.00,2395000,0.577
2012-07-13,2.75,2.85,2.73,2.77,3043200,0.533
2012-07-12,2.65,2.95,2.56,2.74,7981500,0.527
2012-07-11,2.85,2.85,2.55,2.66,12664400,0.512
2012-07-10,3.65,3.89,2.85,3.03,12018500,0.583
2012-07-09,4.89,4.93,4.75,4.90,585800,0.943
2012-07-06,4.94,5.05,4.81,4.88,1633100,0.939
2012-07-05,5.00,5.05,4.96,5.05,288300,0.972
2012-07-04,5.10,5.10,5.00,5.05,366900,0.972
2012-07-03,5.00,5.20,4.92,5.10,1094100,0.982
2012-07-02,5.30,5.35,5.00,5.05,1057200,0.972
2012-06-29,5.45,5.50,5.15,5.30,1707800,1.02
2012-06-28,5.55,5.55,5.35,5.45,441900,1.049
2012-06-27,5.80,5.80,5.55,5.65,235200,1.087
2012-06-26,5.80,5.80,5.55,5.70,261500,1.097
2012-06-25,5.80,5.90,5.55,5.60,360500,1.078
2012-06-22,5.75,5.75,5.75,5.75,000,1.107
2012-06-21,5.80,5.80,5.60,5.75,236500,1.107
2012-06-20,5.40,5.90,5.40,5.60,212400,1.078
2012-06-19,5.45,5.55,5.40,5.55,352800,1.068
2012-06-18,5.80,5.80,5.35,5.55,252400,1.068
2012-06-15,5.65,5.90,5.35,5.75,360500,1.107
2012-06-14,5.80,5.80,5.60,5.65,204100,1.087
2012-06-13,5.85,6.00,5.85,5.90,110500,1.136
2012-06-12,6.00,6.00,5.80,5.85,137800,1.126
2012-06-11,6.25,6.25,5.90,6.00,169100,1.155
2012-06-08,6.05,6.05,5.80,5.90,197200,1.136
2012-06-07,5.90,6.10,5.70,6.00,375100,1.155
2012-06-06,5.85,5.85,5.85,5.85,000,1.126
2012-06-05,5.75,5.95,5.75,5.85,87700,1.126
2012-06-04,5.75,5.90,5.55,5.85,182300,1.126
2012-06-01,6.25,6.25,5.90,6.00,418000,1.155
2012-05-31,5.95,6.10,5.95,6.10,201100,1.174
2012-05-30,6.05,6.10,6.00,6.10,247800,1.174
2012-05-29,6.25,6.25,6.00,6.05,433600,1.164
2012-05-28,6.05,6.25,6.05,6.25,156300,1.203
2012-05-25,6.10,6.15,6.00,6.15,360500,1.184
2012-05-24,6.10,6.25,6.00,6.05,333600,1.164
2012-05-23,6.40,6.40,6.15,6.25,113500,1.203
2012-05-22,6.20,6.35,6.15,6.35,464600,1.222
2012-05-21,6.20,6.50,6.15,6.40,309200,1.232
2012-05-18,6.20,6.30,6.15,6.15,130900,1.184
2012-05-17,6.45,6.45,6.45,6.45,000,1.241
2012-05-16,6.55,6.55,6.25,6.45,90900,1.241
2012-05-15,6.35,6.55,6.35,6.55,336500,1.261
2012-05-14,6.35,6.55,6.25,6.35,863100,1.222
2012-05-11,6.00,6.10,6.00,6.00,70000,1.155
2012-05-10,6.10,6.15,5.95,6.15,624200,1.184
2012-05-09,5.95,6.25,5.70,6.10,1277600,1.174
2012-05-08,5.65,5.65,5.20,5.55,1506700,1.068
2012-05-07,5.90,5.90,5.50,5.65,942500,1.087
2012-05-04,5.90,6.00,5.80,5.90,573000,1.136
2012-05-03,6.00,6.10,5.90,6.00,1300500,1.155
2012-05-02,6.20,6.20,6.00,6.10,643100,1.174
2012-05-01,6.05,6.05,6.05,6.05,000,1.164
2012-04-30,6.00,6.20,6.00,6.05,430400,1.164
2012-04-27,6.00,6.15,5.85,6.00,585500,1.155
2012-04-26,5.80,6.35,5.60,5.90,4405300,1.136
2012-04-25,6.95,7.00,6.75,6.90,596000,1.328
2012-04-24,7.20,7.30,6.90,6.95,337800,1.338
2012-04-23,7.10,7.10,6.70,6.80,1584900,1.309
2012-04-20,7.20,7.30,7.05,7.10,329000,1.366
2012-04-19,7.30,7.45,7.25,7.35,143400,1.415
2012-04-18,7.45,7.50,7.20,7.35,438200,1.415
2012-04-17,7.40,7.45,7.35,7.40,612100,1.424
2012-04-16,7.60,7.60,7.40,7.55,196600,1.453
2012-04-13,7.70,7.80,7.60,7.70,513400,1.482
2012-04-12,7.75,7.95,7.75,7.85,637700,1.511
2012-04-11,7.40,7.70,7.20,7.65,516700,1.472
2012-04-10,7.10,7.45,7.05,7.45,1300800,1.434
2012-04-09,7.15,7.15,7.15,7.15,000,1.376
2012-04-06,7.15,7.15,7.15,7.15,000,1.376
2012-04-05,7.25,7.25,7.05,7.15,262800,1.376
2012-04-04,7.15,7.25,7.00,7.00,723600,1.347
2012-04-03,7.35,7.35,7.15,7.25,173900,1.395
2012-04-02,7.35,7.40,7.20,7.35,206600,1.415
2012-03-30,7.20,7.35,7.05,7.30,576600,1.405
2012-03-29,7.30,7.50,7.00,7.20,994900,1.386
2012-03-28,8.05,8.05,7.00,7.30,5587900,1.405
2012-03-27,7.65,8.35,7.55,8.00,12536500,1.54
2012-03-26,6.65,6.75,6.30,6.70,1122100,1.289
2012-03-23,6.75,6.75,6.45,6.60,764800,1.27
2012-03-22,6.80,6.80,6.65,6.75,267500,1.299
2012-03-21,6.90,7.00,6.75,6.85,349300,1.318
2012-03-20,7.00,7.00,6.70,6.95,321300,1.338
2012-03-19,7.10,7.10,6.80,6.95,191000,1.338
2012-03-16,7.15,7.15,6.60,7.10,1199300,1.366
2012-03-15,7.00,7.10,6.95,7.10,518800,1.366
2012-03-14,7.25,7.30,7.10,7.15,510700,1.376
2012-03-13,7.30,7.40,7.20,7.25,124400,1.395
2012-03-12,7.30,7.30,7.15,7.30,193000,1.405
2012-03-09,7.20,7.45,7.10,7.30,776200,1.405
2012-03-08,7.15,7.30,7.10,7.20,729200,1.386
2012-03-07,7.35,7.35,7.05,7.15,385100,1.376
2012-03-06,7.50,7.50,7.15,7.35,695300,1.415
2012-03-05,7.70,7.70,7.50,7.60,169900,1.463
2012-03-02,7.80,7.90,7.55,7.70,1034000,1.482
2012-03-01,7.90,8.05,7.60,7.90,682300,1.52
2012-02-29,8.25,8.25,7.80,7.90,807400,1.52
2012-02-28,8.40,8.40,8.05,8.30,1249900,1.597
2012-02-27,8.15,8.35,7.80,8.35,1656700,1.607
2012-02-24,7.60,8.20,7.60,8.15,3298900,1.569
2012-02-23,7.40,7.70,7.25,7.55,2179500,1.453
2012-02-22,6.85,7.40,6.85,7.35,2795600,1.415
2012-02-21,6.75,6.95,6.60,6.80,331700,1.309
2012-02-20,6.65,6.85,6.65,6.70,459100,1.289
2012-02-17,6.70,6.80,6.60,6.70,375600,1.289
2012-02-16,6.60,6.85,6.50,6.70,437600,1.289
2012-02-15,6.85,6.90,6.60,6.75,470100,1.299
2012-02-14,6.75,6.95,6.75,6.85,380100,1.318
2012-02-13,6.75,7.00,6.60,6.85,1993700,1.318
2012-02-10,7.35,7.35,6.65,6.90,4688800,1.328
2012-02-09,7.70,7.70,7.20,7.40,2002600,1.424
2012-02-08,7.75,7.90,7.70,7.85,550300,1.511
2012-02-07,7.75,7.80,7.65,7.75,65200,1.492
2012-02-06,7.90,7.90,7.70,7.90,326900,1.52
2012-02-03,7.75,7.95,7.65,7.95,201500,1.53
2012-02-02,7.85,8.00,7.65,7.75,567900,1.492
2012-02-01,7.55,8.05,7.50,7.85,1901500,1.511
2012-01-31,7.45,7.60,7.40,7.55,150500,1.453
2012-01-30,7.40,7.50,7.30,7.40,490700,1.424
2012-01-27,7.55,7.60,7.40,7.55,534500,1.453
2012-01-26,7.75,7.75,7.55,7.55,1310200,1.453
2012-01-25,7.75,7.85,7.60,7.75,344900,1.492
2012-01-24,7.95,7.95,7.70,7.85,683800,1.511
2012-01-23,7.70,7.85,7.60,7.80,862600,1.501
2012-01-20,7.75,7.80,7.60,7.70,1497900,1.482
2012-01-19,7.40,7.85,7.40,7.65,3326800,1.472
2012-01-18,7.40,7.55,7.20,7.45,2611700,1.434
2012-01-17,7.75,7.85,7.35,7.45,2842000,1.434
2012-01-16,7.90,8.00,7.80,7.80,690600,1.501
2012-01-13,8.15,8.15,7.85,7.95,1058700,1.53
2012-01-12,8.25,8.25,7.95,8.10,1102500,1.559
2012-01-11,7.75,8.25,7.65,8.10,4943600,1.559
2012-01-10,8.20,8.50,7.80,7.85,8759700,1.511
2012-01-09,9.40,9.40,7.75,8.15,12848100,1.569
2012-01-06,9.50,9.50,9.50,9.50,000,1.828
2012-01-05,9.60,9.65,9.35,9.50,2104000,1.828
2012-01-04,9.80,9.80,9.50,9.65,1577300,1.857
2012-01-03,10.00,10.00,9.70,9.80,2879700,1.886
2012-01-02,10.35,10.35,9.80,9.90,6934300,1.905
2011-12-30,9.40,9.40,9.20,9.30,547800,1.79
2011-12-29,9.20,9.35,9.20,9.35,330200,1.80
2011-12-28,9.15,9.30,9.10,9.25,869800,1.78
2011-12-27,9.20,9.40,9.15,9.25,1391300,1.78
2011-12-26,9.25,9.25,9.25,9.25,000,1.78
2011-12-23,9.20,9.30,9.20,9.30,816200,1.79
2011-12-22,9.40,9.40,9.25,9.25,524900,1.78
2011-12-21,9.40,9.45,9.30,9.30,227600,1.79
2011-12-20,9.35,9.45,9.20,9.40,783700,1.809
2011-12-19,9.40,9.50,9.25,9.30,477300,1.79
2011-12-16,9.30,9.55,9.30,9.45,1060800,1.819
2011-12-15,9.60,9.60,9.40,9.60,866600,1.848
2011-12-14,9.65,9.65,9.40,9.60,1433200,1.848
2011-12-13,9.80,10.05,9.55,9.60,8098500,1.848
2011-12-12,9.20,9.30,9.10,9.20,245200,1.771
2011-12-09,9.00,9.40,9.00,9.20,711600,1.771
2011-12-08,9.40,9.65,9.15,9.25,1514700,1.78
2011-12-07,9.75,9.85,9.15,9.40,4139900,1.809
2011-12-06,8.80,9.95,8.80,9.60,12010400,1.848
2011-12-05,7.75,7.80,7.50,7.70,872600,1.482
2011-12-02,7.65,7.70,7.55,7.65,176300,1.472
2011-12-01,7.75,7.80,7.60,7.60,260400,1.463
2011-11-30,7.60,7.80,7.50,7.75,675900,1.492
2011-11-29,7.60,7.80,7.50,7.65,639400,1.472
2011-11-28,7.50,7.70,7.40,7.60,712000,1.463
2011-11-25,7.50,7.60,7.35,7.50,569100,1.443
2011-11-24,7.40,7.60,7.40,7.45,1268500,1.434
2011-11-23,7.40,7.60,7.35,7.45,1010700,1.434
2011-11-22,7.65,7.80,7.40,7.50,1211800,1.443
2011-11-21,7.90,7.90,7.65,7.65,2627600,1.472
2011-11-18,7.70,7.95,7.50,7.90,1792000,1.52
2011-11-17,7.75,7.95,7.50,7.70,1898400,1.482
2011-11-16,7.40,7.60,7.30,7.60,1388000,1.463
2011-11-15,7.40,7.55,7.25,7.40,1622000,1.424
2011-11-14,7.50,7.60,7.40,7.60,2183000,1.463
2011-11-11,6.90,7.80,6.70,7.40,4181600,1.424
2011-11-10,6.30,6.75,6.15,6.75,1497200,1.299
2011-11-09,6.55,6.55,6.25,6.25,1277700,1.203
2011-11-08,6.30,6.60,6.15,6.35,6449800,1.222
2011-11-07,6.10,6.10,5.90,5.90,381600,1.136
2011-11-04,6.10,6.20,5.90,6.10,563600,1.174
2011-11-03,5.85,6.00,5.70,6.00,690800,1.155
2011-11-02,5.70,5.90,5.70,5.90,381200,1.136
2011-11-01,6.05,6.05,5.75,5.80,1082600,1.116
2011-10-31,6.10,6.30,6.10,6.10,490200,1.174
2011-10-28,6.10,6.20,6.05,6.10,994900,1.174
2011-10-27,6.30,6.40,6.05,6.05,1657400,1.164
2011-10-26,6.10,6.30,6.00,6.10,849600,1.174
2011-10-25,6.15,6.25,5.90,6.10,922500,1.174
2011-10-24,5.80,6.20,5.80,6.20,420900,1.193
2011-10-21,5.75,6.00,5.75,6.00,596600,1.155
2011-10-20,5.70,5.85,5.70,5.75,500700,1.107
2011-10-19,5.85,6.05,5.70,5.80,293700,1.116
2011-10-18,5.80,5.80,5.70,5.80,216200,1.116
2011-10-17,5.80,5.90,5.65,5.80,97500,1.116
2011-10-14,5.60,5.90,5.60,5.80,215900,1.116
2011-10-13,5.75,5.75,5.60,5.60,181800,1.078
2011-10-12,5.90,5.90,5.65,5.70,363100,1.097
2011-10-11,5.75,5.85,5.70,5.85,181200,1.126
2011-10-10,6.05,6.05,5.75,5.80,126900,1.116
2011-10-07,5.90,6.00,5.75,5.80,666200,1.116
2011-10-06,5.80,5.95,5.75,5.90,897600,1.136
2011-10-05,5.70,5.80,5.60,5.75,432400,1.107
2011-10-04,5.65,5.85,5.50,5.70,1011000,1.097
2011-10-03,6.15,6.15,5.65,5.90,799800,1.136
2011-09-30,6.20,6.35,6.05,6.15,972300,1.184
2011-09-29,5.90,6.35,5.90,6.15,2902200,1.184
2011-09-28,6.20,6.45,5.85,5.95,3901800,1.145
2011-09-27,5.65,5.90,5.50,5.85,1840500,1.126
2011-09-26,5.25,5.60,5.20,5.50,1970900,1.059
2011-09-23,5.35,5.45,4.90,5.30,1507900,1.02
2011-09-22,5.25,5.50,5.00,5.35,1015100,1.03
2011-09-21,5.40,5.45,5.35,5.35,140800,1.03
2011-09-20,5.50,5.50,5.35,5.35,233900,1.03
2011-09-19,5.50,5.60,5.35,5.50,586400,1.059
2011-09-16,5.65,5.85,5.50,5.70,1073100,1.097
2011-09-15,5.50,5.60,5.50,5.60,719200,1.078
2011-09-14,5.65,5.65,5.40,5.50,1153900,1.059
2011-09-13,5.65,5.75,5.40,5.65,1250300,1.087
2011-09-12,5.55,5.65,5.40,5.50,835600,1.059
2011-09-09,5.70,5.75,5.55,5.55,491300,1.068
2011-09-08,5.85,5.85,5.60,5.70,830500,1.097
2011-09-07,5.65,5.90,5.60,5.85,1821900,1.126
2011-09-06,5.55,5.65,5.40,5.55,911000,1.068
2011-09-05,5.60,5.70,5.20,5.50,2239200,1.059
2011-09-02,5.80,5.80,5.45,5.75,541000,1.107
2011-09-01,5.70,6.20,5.60,5.80,1535600,1.116
2011-08-31,5.45,5.70,5.45,5.70,548100,1.097
2011-08-30,5.60,5.60,5.40,5.45,513400,1.049
2011-08-29,5.65,5.70,5.40,5.60,501500,1.078
